Id Producto	Nombre Producto*	Id Ingrediente	Nombre Ingrediente*	Cantidad Ingrediente	Unidad Medida	Tasa Rendimiento	Visible Clientes**	Id Jerarquia Toteat**
B1000	Expresso Doble (Exp)	PAC001	Vaso Caliente Expreso	1	UN	97	1	
B1000	Expresso Doble (Exp)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,018	kg	97	1	
B1010	Americano (GR)	PAC004	Vaso Caliente 16 oz	1	UN	97	1	
B1010	Americano (GR)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1010	Americano (GR)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,03	kg	97	1	
B1020	Americano (CL)	PAC003	Vaso Caliente 12 oz	1	UN	97	1	
B1020	Americano (CL)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1020	Americano (CL)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,018	kg	97	1	
B1030	Cappuccino (GR)	LAC001	Leche Semidescr Sin Lactosa	275	mL	97	1	
B1030	Cappuccino (GR)	PAC004	Vaso Caliente 16 oz	1	UN	97	1	
B1030	Cappuccino (GR)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1030	Cappuccino (GR)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,018	kg	97	1	
B1040	Cappuccino (CL)	LAC001	Leche Semidescr Sin Lactosa	200	mL	97	1	
B1040	Cappuccino (CL)	PAC003	Vaso Caliente 12 oz	1	UN	97	1	
B1040	Cappuccino (CL)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1040	Cappuccino (CL)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,012	kg	97	1	
B1050	Flat White (GR)	LAC001	Leche Semidescr Sin Lactosa	275	mL	97	1	
B1050	Flat White (GR)	PAC004	Vaso Caliente 16 oz	1	UN	97	1	
B1050	Flat White (GR)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1050	Flat White (GR)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,018	kg	97	1	
B1060	Flat White (CL)	LAC001	Leche Semidescr Sin Lactosa	200	mL	97	1	
B1060	Flat White (CL)	PAC003	Vaso Caliente 12 oz	1	UN	97	1	
B1060	Flat White (CL)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1060	Flat White (CL)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,012	kg	97	1	
B1070	Cortado (Cor)	LAC001	Leche Semidescr Sin Lactosa	120	mL	97	1	
B1070	Cortado (Cor)	PAC002	Vaso Caliente 8 oz	1	UN	97	1	
B1070	Cortado (Cor)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1070	Cortado (Cor)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,018	kg	97	1	
B1080	Latte clásico (GR)	LAC001	Leche Semidescr Sin Lactosa	400	mL	97	1	
B1080	Latte clásico (GR)	PAC004	Vaso Caliente 16 oz	1	UN	97	1	
B1080	Latte clásico (GR)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1080	Latte clásico (GR)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,018	kg	97	1	
B1090	Latte clásico (CL)	LAC001	Leche Semidescr Sin Lactosa	290	mL	97	1	
B1090	Latte clásico (CL)	PAC003	Vaso Caliente 12 oz	1	UN	97	1	
B1090	Latte clásico (CL)	PAC008	Tapa Plana Vaso Caliente 8-16 oz	1	UN	97	1	
B1090	Latte clásico (CL)	SUB005	SUB BLEND 702 GRANO 1KG INTERNO	0,012	kg	97	1	
B1100	Latte Vainilla (GR)	LAC001	Leche Semidescr Sin Lactosa	360	mL	97	1	
B1100	Latte Vainilla (GR)	SSR005	syrup vainilla	18	mL	97	1	
