Id Producto	Nombre Producto*	Cantidad a Producir	Unidad de Medida	Porciones/UM	Cantidad Minima	Instrucciones**	SoloTransformaciones
B1000	Expresso Doble (Exp)	1	UN	1	1		0
B1010	Americano (GR)	1	UN	1	1		0
B1020	Americano (CL)	1	UN	1	1		0
B1030	Cappuccino (GR)	1	UN	1	1		0
B1040	Cappuccino (CL)	1	UN	1	1		0
B1050	Flat White (GR)	1	UN	1	1		0
B1060	Flat White (CL)	1	UN	1	1		0
B1070	Cortado (Cor)	1	UN	1	1		0
B1080	Latte clásico (GR)	1	UN	1	1		0
B1090	Latte clásico (CL)	1	UN	1	1		0
B1100	Latte Vainilla (GR)	1	UN	1	1		0
B1110	Latte Vainilla (CL)	1	UN	1	1		0
B1120	Latte Avellana (GR)	1	UN	1	1		0
B1130	Latte Avellana (CL)	1	UN	1	1		0
B1140	Latte Vainilla sin Azúcar (GR)	1	UN	1	1		0
B1150	Latte Vainilla sin Azúcar (CL)	1	UN	1	1		0
B1160	Latte Dulce de Leche (GR)	1	UN	1	1		0
B1170	Latte Dulce de Leche (CL)	1	UN	1	1		0
B1180	Caramel Macchiato (GR)	1	UN	1	1		0
B1190	Caramel Macchiato (CL)	1	UN	1	1		0
B1200	Mocha (GR)	1	UN	1	1		0
B1210	Mocha (CL)	1	UN	1	1		0
B1220	Mocha Avellana (GR)	1	UN	1	1		0
B1230	Mocha Avellana (CL)	1	UN	1	1		0
B1240	Mocha Blanco (GR)	1	UN	1	1		0
B1250	Mocha Blanco (CL)	1	UN	1	1		0
B1260	Chocolate caliente (GR)	1	UN	1	1		0
B1270	Chocolate caliente (CL)	1	UN	1	1		0
B1280	Affogato (C)	1	UN	1	1		0
B1290	Chill Watermelon Açai Lemon (GR)	1	UN	1	1		0
B1300	Chill Watermelon Açai Lemon (CL)	1	UN	1	1		0
B1310	Chill Watermelon Açai Lemon (XTR)	1	UN	1	1		0
B1320	Chill Watermelon Lemonade (GR)	1	UN	1	1		0
B1330	Chill Watermelon Lemonade (CL)	1	UN	1	1		0
B1340	Chill Watermelon Lemonade (XTR)	1	UN	1	1		0
B1350	Chill Mango Lemonade (GR)	1	UN	1	1		0
B1360	Chill Mango Lemonade (CL)	1	UN	1	1		0
B1370	Chill Mango Lemonade (XTR)	1	UN	1	1		0
B1380	Frappé Café Clásico (GR)	1	UN	1	1		0
B1390	Frappé Café Clásico (CL)	1	UN	1	1		0
B1400	Frappé Café Clásico (XTR)	1	UN	1	1		0
B1410	Frappé Café Vainilla (GR)	1	UN	1	1		0
B1420	Frappé Café Vainilla (CL)	1	UN	1	1		0
