 ID Jerarquia	ID Nodo **	Nombre Jerarquía *	ID nodo padre	Orden	editandoExtraInfo	extraInfo	
IC.	0	Todos los Ingredientes		0	0	[object Object]	
IC.010	10	Café, Matcha, Chai, Te	IC.	9	0	[object Object]	
IC.020	20	Leche, Crema, Bases, Proteinas, Nitrogeno	IC.	9	0	[object Object]	
IC.030	30	Syrup, Salsas, Refreshers	IC.	22	0	[object Object]	
IC.040	40	Jugos Pulpas	IC.	7	0	[object Object]	
IC.050	50	Chips, Crumbles, Boba, Frutos Disecados	IC.	4	0	[object Object]	
IC.060	60	Helados	IC.	3	0	[object Object]	
IC.070	70	Bolleria	IC.	15	0	[object Object]	
IC.080	80	Sandwich	IC.	23	0	[object Object]	
IC.090	90	Retail / Bebidas Embotelladas / Merch	IC.	9	0	[object Object]	
IC.100	100	Packaging y Condimentos : Vasos, Porta Vasos, Bolsas, Papeleria Empaque	IC.	21	0	[object Object]	
IC.110	110	Insumos Aseo y Generales	IC.	4	0	[object Object]	
IC.120	120	Insumos Administrativos y Marketing	IC.	6	0	[object Object]	
